dep_date,airline,station,time,duration,stops,price,dateofbooking
16/03/2022,Go First,CCU - BLR,16:45 - 19:20, 2h 35m ,Non-stop,"₹ 6,881",15/03/2022
16/03/2022,Go First,CCU - BLR,09:10 - 11:50, 2h 40m ,Non-stop,"₹ 6,881",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,09:50 - 12:20, 2h 30m ,Non-stop,"₹ 7,699",15/03/2022
16/03/2022,Air India,CCU - BLR,23:15 - 01:50, 2h 35m ,Non-stop,"₹ 7,629",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,21:15 - 00:10, 2h 55m ,Non-stop,"₹ 7,387",15/03/2022
16/03/2022,IndiGo,CCU - BLR,07:15 - 09:50, 2h 35m ,Non-stop,"₹ 7,964",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,20:30 - 23:25, 2h 55m ,Non-stop,"₹ 7,506",15/03/2022
16/03/2022,IndiGo,CCU - BLR,05:25 - 08:05, 2h 40m ,Non-stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,09:15 - 12:05, 2h 50m ,Non-stop,"₹ 7,853",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,13:30 - 16:15, 2h 45m ,Non-stop,"₹ 8,121",15/03/2022
16/03/2022,FlexFlight,CCU - BLR,16:45 - 19:20, 2h 35m ,Non-stop,"₹ 8,880",15/03/2022
16/03/2022,IndiGo,CCU - BLR,14:25 - 17:10, 2h 45m ,Non-stop,"₹ 8,693",15/03/2022
16/03/2022,IndiGo,CCU - BLR,11:35 - 14:20, 2h 45m ,Non-stop,"₹ 8,694",15/03/2022
16/03/2022,FlexFlight,CCU - BLR,09:10 - 11:50, 2h 40m ,Non-stop,"₹ 8,880",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,19:45 - 23:55, 4h 10m ,1 stop,"₹ 7,849",15/03/2022
16/03/2022,IndiGo,CCU - BLR,18:25 - 20:55, 2h 30m ,Non-stop,"₹ 11,004",15/03/2022
16/03/2022,Air India,CCU - BLR,18:15 - 20:50, 2h 35m ,Non-stop,"₹ 11,191",15/03/2022
16/03/2022,IndiGo,CCU - BLR,06:55 - 11:40, 4h 45m ,1 stop,"₹ 8,274",15/03/2022
16/03/2022,IndiGo,CCU - BLR,23:35 - 02:20, 2h 45m ,Non-stop,"₹ 11,844",15/03/2022
16/03/2022,IndiGo,CCU - BLR,08:05 - 14:10, 6h 5m ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,13:50 - 19:25, 5h 35m ,1 stop,"₹ 8,804",15/03/2022
16/03/2022,IndiGo,CCU - BLR,19:50 - 22:40, 2h 50m ,Non-stop,"₹ 12,788",15/03/2022
16/03/2022,Go First,CCU - BLR,14:50 - 21:25, 6h 35m ,1 stop,"₹ 7,804",15/03/2022
16/03/2022,Go First,CCU - BLR,16:25 - 23:40, 7h 15m ,1 stop,"₹ 7,804",15/03/2022
16/03/2022,IndiGo,CCU - BLR,23:20 - 06:55, 7h 35m ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,22:40 - 06:25, 7h 45m ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,Go First,CCU - BLR,08:30 - 16:50, 8h 20m ,1 stop,"₹ 7,103",15/03/2022
16/03/2022,IndiGo,CCU - BLR,16:10 - 18:45, 2h 35m ,Non-stop,"₹ 15,419",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,16:15 - 19:05, 2h 50m ,Non-stop,"₹ 15,421",15/03/2022
16/03/2022,IndiGo,CCU - BLR,12:55 - 21:20, 8h 25m ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,13:50 - 21:15, 7h 25m ,2 stops,"₹ 9,644",15/03/2022
16/03/2022,Go First,CCU - BLR,22:45 - 07:40, 8h 55m ,1 stop,"₹ 7,703",15/03/2022
16/03/2022,IndiGo,CCU - BLR,15:00 - 21:45, 6h 45m ,1 stop,"₹ 10,904",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,07:35 - 17:00, 9h 25m ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,09:30 - 17:20, 7h 50m ,1 stop,"₹ 10,793",15/03/2022
16/03/2022,IndiGo,CCU - BLR,09:05 - 18:30, 9h 25m ,1 stop,"₹ 9,113",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,04:40 - 15:30, 10h 50m ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,11:00 - 17:20, 6h 20m ,1 stop,"₹ 14,153",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,23:40 - 10:40, 11h ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,19:55 - 01:05, 5h 10m ,1 stop,"₹ 16,254",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:15 - 17:00, 6h 45m ,1 stop,"₹ 14,261",15/03/2022
16/03/2022,IndiGo,CCU - BLR,07:05 - 14:35, 7h 30m ,1 stop,"₹ 13,367",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,21:40 - 09:40, 12h ,1 stop,"₹ 7,853",15/03/2022
16/03/2022,IndiGo,CCU - BLR,00:15 - 09:15, 9h ,1 stop,"₹ 12,054",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,13:55 - 23:55, 10h ,1 stop,"₹ 10,899",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:25 - 17:45, 7h 20m ,1 stop,"₹ 14,827",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,07:40 - 18:45, 11h 5m ,1 stop,"₹ 9,850",15/03/2022
16/03/2022,IndiGo,CCU - BLR,14:45 - 22:10, 7h 25m ,1 stop,"₹ 15,362",15/03/2022
16/03/2022,Vistara,CCU - BLR,17:35 - 22:50, 5h 15m ,1 stop,"₹ 18,562",15/03/2022
16/03/2022,Go First,CCU - BLR,04:55 - 18:15, 13h 20m ,1 stop,"₹ 7,804",15/03/2022
16/03/2022,Multiple Airlines,CCU - BLR,22:45 - 07:40, 8h 55m ,1 stop,"₹ 15,005",15/03/2022
16/03/2022,Air India,CCU - BLR,09:40 - 18:30, 8h 50m ,1 stop,"₹ 16,135",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,07:40 - 23:35, 15h 55m ,1 stop,"₹ 7,854",15/03/2022
16/03/2022,Vistara,CCU - BLR,15:20 - 22:40, 7h 20m ,1 stop,"₹ 20,344",15/03/2022
16/03/2022,Air India,CCU - BLR,07:00 - 16:15, 9h 15m ,1 stop,"₹ 18,129",15/03/2022
16/03/2022,Vistara,CCU - BLR,15:20 - 23:20, 8h ,1 stop,"₹ 20,076",15/03/2022
16/03/2022,IndiGo,CCU - BLR,06:10 - 13:40, 7h 30m ,1 stop,"₹ 20,932",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,04:40 - 17:00, 12h 20m ,2 stops,"₹ 14,365",15/03/2022
16/03/2022,IndiGo,CCU - BLR,11:50 - 20:00, 8h 10m ,1 stop,"₹ 20,512",15/03/2022
16/03/2022,Vistara,CCU - BLR,20:35 - 07:50, 11h 15m ,1 stop,"₹ 16,462",15/03/2022
16/03/2022,Air India,CCU - BLR,20:30 - 08:55, 12h 25m ,1 stop,"₹ 14,971",15/03/2022
16/03/2022,Vistara,CCU - BLR,17:35 - 07:50, 14h 15m ,1 stop,"₹ 12,565",15/03/2022
16/03/2022,Vistara,CCU - BLR,20:25 - 08:40, 12h 15m ,1 stop,"₹ 15,720",15/03/2022
16/03/2022,FlexFlight,CCU - BLR,04:55 - 18:15, 13h 20m ,1 stop,"₹ 14,416",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,20:00 - 10:40, 14h 40m ,1 stop,"₹ 12,618",15/03/2022
16/03/2022,Air India,CCU - BLR,10:25 - 00:10, 13h 45m ,1 stop,"₹ 14,971",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:15 - 19:15, 9h ,2 stops,"₹ 21,774",15/03/2022
16/03/2022,Air India,CCU - BLR,10:25 - 20:05, 9h 40m ,1 stop,"₹ 24,339",15/03/2022
16/03/2022,Vistara,CCU - BLR,18:45 - 08:40, 13h 55m ,1 stop,"₹ 18,817",15/03/2022
16/03/2022,Air India,CCU - BLR,09:40 - 00:10, 14h 30m ,2 stops,"₹ 18,043",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,13:55 - 20:50, 6h 55m ,2 stops,"₹ 29,065",15/03/2022
16/03/2022,Air India,CCU - BLR,07:00 - 18:30, 11h 30m ,2 stops,"₹ 22,903",15/03/2022
16/03/2022,Air India,CCU - BLR,17:15 - 11:10, 17h 55m ,1 stop,"₹ 15,358",15/03/2022
16/03/2022,Air India,CCU - BLR,20:30 - 11:40, 15h 10m ,2 stops,"₹ 19,544",15/03/2022
16/03/2022,AirAsia (India),CCU - BLR,13:55 - 01:25, 11h 30m ,2 stops,"₹ 25,914",15/03/2022
16/03/2022,Vistara,CCU - BLR,07:10 - 16:00, 8h 50m ,2 stops,"₹ 30,112",15/03/2022
16/03/2022,Air India,CCU - BLR,09:40 - 00:10, 14h 30m ,3 stops,"₹ 22,506",15/03/2022
16/03/2022,Vistara,CCU - BLR,17:35 - 08:40, 15h 5m ,2 stops,"₹ 23,449",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:15 - 08:40, 22h 25m ,1 stop,"₹ 13,458",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:25 - 23:20, 12h 55m ,2 stops,"₹ 26,598",15/03/2022
16/03/2022,Air India,CCU - BLR,13:30 - 08:55, 19h 25m ,3 stops,"₹ 18,444",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:25 - 22:40, 12h 15m ,2 stops,"₹ 30,216",15/03/2022
16/03/2022,Air India,CCU - BLR,07:45 - 20:05, 12h 20m ,3 stops,"₹ 31,279",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:15 - 07:50, 21h 35m ,2 stops,"₹ 19,149",15/03/2022
16/03/2022,Vistara,CCU - BLR,20:25 - 10:45, 14h 20m ,2 stops,"₹ 31,095",15/03/2022
16/03/2022,Air India,CCU - BLR,11:35 - 08:55, 23h 50m ,4 stops,"₹ 18,203",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,15:15 - 17:00+1, 25h 45m ,1 stop,"₹ 16,746",15/03/2022
16/03/2022,Air India,CCU - BLR,21:00 - 22:15+1, 25h 15m ,2 stops,"₹ 19,640",15/03/2022
16/03/2022,Air India,CCU - BLR,07:45 - 08:55+1, 25h 10m ,4 stops,"₹ 19,915",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,18:10 - 21:25+1, 27h 15m ,1 stop,"₹ 18,290",15/03/2022
16/03/2022,Air India,CCU - BLR,11:35 - 11:10, 26h 5m ,3 stops,"₹ 20,800",15/03/2022
16/03/2022,Air India,CCU - BLR,17:15 - 00:10+1, 30h 55m ,2 stops,"₹ 17,013",15/03/2022
16/03/2022,Air India,CCU - BLR,10:25 - 17:55+1, 31h 30m ,3 stops,"₹ 21,471",15/03/2022
16/03/2022,Air India,CCU - BLR,13:30 - 00:10+1, 34h 40m ,2 stops,"₹ 17,324",15/03/2022
16/03/2022,Air India,CCU - BLR,19:00 - 22:15+1, 27h 15m ,1 stop,"₹ 31,387",15/03/2022
16/03/2022,Air India,CCU - BLR,13:50 - 00:10+1, 34h 20m ,2 stops,"₹ 21,735",15/03/2022
16/03/2022,Air India,CCU - BLR,10:25 - 22:15, 11h 50m ,2 stops,"₹ 54,803",15/03/2022
16/03/2022,Emirates,CCU - BLR,20:20 - 02:55+1, 30h 35m ,1 stop,"₹ 42,478",15/03/2022
16/03/2022,Vistara,CCU - BLR,20:35 - 11:50, 15h 15m ,2 stops,"₹ 65,326",15/03/2022
